2022-05-2907:32:30.000,32.10547033,118.86368433,39.60,46.69
2022-05-2907:32:30.000,32.10547033,118.86368433,39.50,46.69
2022-05-2907:32:30.020,32.10546667,118.86365683,39.50,47.30
2022-05-2907:32:30.020,32.10546667,118.86365683,39.50,47.30
2022-05-2907:32:30.040,32.10546417,118.86362917,39.50,47.74
2022-05-2907:32:30.040,32.10546417,118.86362917,39.40,47.74
2022-05-2907:32:30.060,32.10546167,118.86360133,39.40,47.23
2022-05-2907:32:30.060,32.10546167,118.86360133,39.40,47.23
2022-05-2907:32:30.080,32.10545883,118.86357250,39.40,49.39
2022-05-2907:32:30.080,32.10545883,118.86357250,39.50,49.39
2022-05-2907:32:31.000,32.10545567,118.86354367,39.50,49.17
2022-05-2907:32:31.000,32.10545567,118.86354367,39.50,49.17
2022-05-2907:32:31.020,32.10545183,118.86351467,39.50,49.82
2022-05-2907:32:31.020,32.10545183,118.86351467,39.50,49.82
2022-05-2907:32:31.040,32.10544800,118.86348517,39.50,51.00
2022-05-2907:32:31.040,32.10544800,118.86348517,39.40,51.00
2022-05-2907:32:31.060,32.10544433,118.86345483,39.40,51.80
2022-05-2907:32:31.060,32.10544433,118.86345483,39.40,51.80
2022-05-2907:32:31.080,32.10544067,118.86342500,39.40,51.12
2022-05-2907:32:31.080,32.10544067,118.86342500,39.40,51.12
2022-05-2907:32:32.000,32.10543567,118.86339517,39.40,52.28
2022-05-2907:32:32.000,32.10543567,118.86339517,39.20,52.28
2022-05-2907:32:32.020,32.10543083,118.86336483,39.20,52.99
2022-05-2907:32:32.020,32.10543083,118.86336483,39.10,52.99
2022-05-2907:32:32.040,32.10542633,118.86333333,39.10,54.43
2022-05-2907:32:32.040,32.10542633,118.86333333,39.00,54.43
2022-05-2907:32:32.060,32.10542133,118.86330183,39.00,54.56
2022-05-2907:32:32.060,32.10542133,118.86330183,38.90,54.56
2022-05-2907:32:32.080,32.10541667,118.86327050,38.90,54.47
2022-05-2907:32:32.080,32.10541667,118.86327050,38.70,54.47
2022-05-2907:32:33.010,32.10540767,118.86322467,38.70,53.91
2022-05-2907:32:33.010,32.10540767,118.86322467,38.40,53.91
2022-05-2907:32:33.030,32.10540150,118.86319350,38.40,54.67
2022-05-2907:32:33.030,32.10540150,118.86319350,38.10,54.67
2022-05-2907:32:33.050,32.10539550,118.86316117,38.10,56.60
2022-05-2907:32:33.050,32.10539550,118.86316117,37.90,56.60
2022-05-2907:32:33.070,32.10538933,118.86312833,37.90,57.21
2022-05-2907:32:33.070,32.10538933,118.86312833,37.70,57.21
2022-05-2907:32:33.090,32.10538350,118.86309483,37.70,58.04
2022-05-2907:32:33.090,32.10538350,118.86309483,37.50,58.04
2022-05-2907:32:34.010,32.10537833,118.86306083,37.50,58.25
